Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
Piscina,Maria Becerra,Piscina,11/8/2023,USWL12302932,81319633.0,6.0,"7,972","1,532",37.5,
Bandit (with YoungBoy Never Broke Again),Juice WRLD,Death Race For Love (Bonus Track Version),3/8/2019,USUG11903492,925747848.0,67.0,"178,435","1,538",37.5,
this is what falling in love feels like,JVKE,this is what falling in love feels like (Ramengvrl Remix),9/3/2021,GBKPL2163189,477620800.0,72.0,"108,333","1,531",37.5,
Galway Girl,Ed Sheeran,ýý (Deluxe),3/3/2017,GBAHS1700026,1311631709.0,72.0,"121,737","1,535",37.5,
Firework,Katy Perry,Teenage Dream,1/1/2010,USCA21001262,1065375074.0,67.0,"164,65","1,534",37.5,
Danza Kuduro - Cover,WORK OUT GYM - DJ MIX,Let's Workout - Best Pop Hits -,10/7/2023,TCJPX2356080,1642258500.0,,5,"1,536",37.5,
wait in the truck (feat. Lainey Wilson),HARDY,wait in the truck - Single,8/26/2022,QZ22S2200068,127223430.0,63.0,"24,922","1,537",37.5,
No Es por Acï¿,Carin Leon,No Es por Acï¿½ï¿½ - Si,7/8/2022,QZQMB2102485,331775657.0,51.0,"17,727","1,543",37.4,
Funny Song,Cavendish Music,"Vintage Oddities, Vol. 4",8/15/2018,GBBGY1743613,5866282.0,39.0,"3,514","1,539",37.4,
Adventure Of A Lifetime,Coldplay,Adventure Of A Lifetime,11/6/2015,GBAYE1500981,1020239582.0,76.0,"148,456","1,546",37.4,
Nice For What,Drake,Nice For What,4/6/2018,USCM51800077,1276685592.0,72.0,"192,868","1,544",37.4,
Us Vs Them,$uicideboy$,Us Vs. Them,3/29/2024,QZAPK2000499,44027794.0,,"7,604","1,545",37.4,
Vaaste,Dhvani Bhanushali,Vaaste,4/6/2019,INS181900798,126921341.0,60.0,"13,291","1,54",37.4,
FALTA DE QUï¿½,Luan Pereira,FALTA DE QUï¿½,5/16/2024,BRRGE2400266,27120441.0,77.0,"1,557","1,541",37.4,
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),6/24/2022,USAT22205563,947763871.0,72.0,"59,942","1,542",37.4,
Obsessed With You,Central Cee,Obsessed With You,9/10/2021,ZZOPM2110165,336889834.0,64.0,"130,841","1,549",37.3,
Bang!,AJR,Bang!,2/12/2020,QMRSZ2000128,426425213.0,56.0,"79,159","1,55",37.3,
Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),10/26/2023,USUG12306674,211462881.0,,"15,136","1,551",37.3,
The Door,Teddy Swims,I've Tried Everything But Therapy (Part 1),9/15/2023,USWB12302870,111155129.0,80.0,"8,444","1,548",37.3,
Gato de Noche,ýýengo Flow,Gato de Noche,12/22/2022,QMFMF2216359,427842597.0,66.0,"59,365","1,547",37.3,
Despeinada,Ozuna,Despeinada,9/3/2020,USXDR2000590,420652971.0,63.0,"51,117","1,555",37.2,
Runnin,21 Savage,SAVAGE MODE II,10/2/2020,USSM12005346,653352641.0,77.0,"181,583","1,556",37.2,
Hey Driver (feat. The War and Treaty),Zach Bryan,Hey Driver (feat. The War and Treaty),8/24/2023,USWB12304897,221575551.0,78.0,"30,798","1,552",37.2,
REAL GANGSTA LOVE,Trueno,EL ï¿½ï¿½LTIMO B,5/23/2024,US66W2401066,31366703.0,78.0,"1,732","1,554",37.2,
OKI DOKI,KAROL G,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,8/10/2023,USUG12305254,221406245.0,72.0,"13,588","1,557",37.2,
Free Mind,Tems,For Broken Ears,9/25/2020,QMBZ92014864,155772691.0,67.0,"49,453","1,559",37.1,
New Rules,Dua Lipa,Dua Lipa (Complete Edition),1/1/2015,GBAHT1600310,2098443322.0,75.0,"158,842","1,561",37.1,
favorite crime,Olivia Rodrigo,SOUR,5/21/2021,USUG12101249,1058390692.0,79.0,"110,9","1,564",37.1,
La Forma en Que Me Miras,Super Yei,La Forma en Que Me Miras,8/4/2018,QM6MZ1872146,541468772.0,67.0,"85,006","1,56",37.1,
When You're Gone,Shawn Mendes,When You're Gone,3/31/2022,USUM72204098,323292046.0,71.0,"40,626","1,562",37.1,
High Road (feat. Jessie Murph),Koe Wetzel,High Road (feat. Jessie Murph),6/7/2024,USQX92401733,6120999.0,67.0,855,"1,558",37.1,
Savage,Megan Thee Stallion,Suga,3/6/2020,QMCE32000097,427275743.0,61.0,"63,715","1,563",37.1,
Put It On Da Floor Again (feat. Cardi B),Latto,Put It On Da Floor Again (feat. Cardi B) - Single,6/2/2023,USRC12301450,60082145.0,60.0,"11,423","1,572",37.0,
You Should Probably Leave,Chris Stapleton,Starting Over,11/13/2020,USUM72013814,427605317.0,77.0,"56,215","1,566",37.0,
Runaway,AURORA,Runaway,2/7/2015,GBUM71500527,884816583.0,70.0,"204,318","1,567",37.0,
Spicy,aespa,MY WORLD - The 3rd Mini Album,5/8/2023,KRA302300145,133536914.0,63.0,"12,91","1,57",37.0,
Ya Leil W Yal Ein,AL SHAMI,Ya Leil W Yal Ein,9/20/2023,LBA132301385,9736339.0,,"2,164","1,574",37.0,
Die For You,The Weeknd,Starboy,11/25/2016,USUG11601011,2265551950.0,74.0,"185,803","1,565",37.0,
Need It (feat. YoungBoy Never Broke Again),Migos,Need It,5/22/2020,USUG12000098,328017675.0,67.0,"115,095","1,569",37.0,
Into You,Ariana Grande,Dangerous Woman,4/1/2016,USUM71601827,1368497471.0,72.0,"112,014","1,571",37.0,
Invincible,Pop Smoke,Meet The Woo 2,2/7/2020,USUM72002003,549824221.0,70.0,"173,912","1,573",37.0,
Le Monde,Richard Carter,Talk to Me (Original Soundtrack),8/4/2023,QMB622321018,84141101.0,62.0,"23,465","1,568",37.0,
Un Besito Mï¿½,Salastkbron,Un Besito Mï¿½,3/14/2024,AR5UH2302301,39026522.0,72.0,"4,463","1,581",36.9,
Ya No Somos Ni Seremos,Christian Nodal,Ya No Somos Ni Seremos,2/18/2022,MXF012200055,469278591.0,76.0,"30,545","1,58",36.9,
Macetando,Ivete Sangalo,Macetando,12/15/2023,BKS182300001,67224922.0,,"4,356","1,575",36.9,
Stand by Me,Ben King,Don't Play That Song,1/5/2024,DETT12295003,1094052047.0,,1,"1,577",36.9,
Goa Beach,Tony Kakkar,Goa Beach,2/11/2020,FR10S2014119,33384757.0,48.0,"3,507","1,576",36.9,
Sharks,Imagine Dragons,Sharks,6/24/2022,USUM72205464,283572432.0,65.0,"48,772","1,579",36.9,
Teenage Dream,Stephen Dawes,Teenage Dream,6/2/2022,USDA12202749,170404957.0,64.0,"31,472","1,578",36.9,
Igualito a Mi Apï¿,Fuerza Regida,Pa Que Hablen,12/30/2022,QZ9QQ2200167,316447060.0,72.0,"27,766","1,585",36.8,
Thunder,Gabry Ponte,Thunder,5/7/2021,ITV952100014,551090518.0,75.0,"146,088","1,582",36.8,
Thousand Miles,The Kid LAROI,Thousand Miles,4/22/2022,USSM12203367,299159279.0,65.0,"65,016","1,583",36.8,
STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby) - Single,8/5/2022,USSM12206682,204471704.0,55.0,"72,788","1,586",36.8,
Walk Em Down (feat. Roddy Ricch),NLE Choppa,Walk Em Down (feat. Roddy Ricch),3/19/2020,USWB12000247,565296902.0,68.0,"139,124","1,584",36.8,
Khairiyat,Arijit Singh,Chhichhore,8/31/2019,INS181904666,240571166.0,65.0,"23,561","1,587",36.8,
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,Hands All Over (Revised Asia Standard Version),1/1/2010,USUM71109132,1461578587.0,76.0,"216,137","1,598",36.7,
Private Landing (feat. Justin Bieber & Future),Don Toliver,Private Landing (feat. Justin Bieber & Future),2/23/2023,USAT22301679,242528711.0,72.0,"57,228","1,599",36.7,
Turn Yo Clic Up (feat. Future),Quavo,Turn Yo Clic Up (feat. Future),7/14/2023,USUG12300051,70868414.0,57.0,"32,989","1,593",36.7,
Hotline Bling,Drake,Hotline Bling,7/31/2015,USCM51500238,1335494972.0,72.0,"205,003","1,588",36.7,
Down Below,Roddy Ricch,Feed Tha Streets II,11/2/2018,USAT21811792,394772670.0,66.0,"120,605","1,591",36.7,
Chupï¿½,El Gudi,Chupï¿½,8/25/2023,PYC842302802,126216271.0,61.0,"8,26","1,597",36.7,
Emiliana,CKay,Emiliana,12/3/2021,ZA34K2100657,223634694.0,62.0,"85,051","1,595",36.7,
Sonrï¿½ï¿½ele a la ,DnK,Sonrï¿½ï¿½ele a la ,6/25/2021,QZHZ62124573,3052742.0,10.0,31,"1,59",36.7,
Life Goes On,BTS,BE,11/20/2020,QMBZ92051791,717715448.0,70.0,"43,805","1,594",36.7,
World Hold On - FISHER Rework,Bob Sinclar,World Hold On (feat. Steve Edwards) [FISHER Rework] - Single,7/8/2022,FR4E42227000,240482615.0,62.0,"97,818","1,592",36.7,
Cry,Benson Boone,Fireworks & Rollerblades,4/5/2024,USWB12401092,72952792.0,18.0,"5,724","1,589",36.7,
11:00 PM,Maluma,11:11,5/17/2019,USSD11900166,719602988.0,67.0,"64,741","1,596",36.7,
One Call Away,Charlie Puth,One Call Away,8/21/2015,USAT21502703,833094374.0,69.0,"74,711","1,604",36.6,
Bitch Let's Do It,YoungBoy Never Broke Again,Richest Opp,5/12/2023,USUG12303290,46368950.0,60.0,"20,691","1,6",36.6,
I Am Not Okay,Jelly Roll,I Am Not Okay,6/12/2024,USUG12403674,4522.0,,63,"1,603",36.6,
Move Your Body,ýýwnboss,Move Your Body - Single,10/29/2021,NLZ542101576,366000029.0,71.0,"116,49","1,606",36.6,
Stay,Rihanna,Unapologetic (Edited Version),1/1/2012,USUM71214754,1313274600.0,69.0,"140,97","1,607",36.6,
Faucet Failure,Ski Mask The Slump God,STOKELEY,11/30/2018,USUM71820924,571258899.0,66.0,"121,284","1,601",36.6,
Danza Kuduro,Don Omar,Vem Dancar Kuduro,1/1/2010,USUM71020778,1656974409.0,76.0,"266,408","1,605",36.6,
Suavemente,Soolking,Suavemente,2/22/2022,FR9KQ2200190,159676691.0,59.0,"53,444","1,608",36.6,
Locked Out Of Heaven,Bruno Mars,NRJ 200% Hits 2013,1/1/2012,USAT21203287,2004657631.0,83.0,"277,766","1,602",36.6,
Party Rock Anthem,LMFAO,Sorry For Party Rocking (Japan Version),1/1/2011,USUM71100061,717233625.0,68.0,"190,77","1,609",36.6,
Jealous,Eyedress,Jealous,12/6/2019,GBMYF1900115,789418331.0,78.0,"170,553","1,615",36.5,
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Now That's What I Call Music! 91,7/24/2015,GBUM71406894,1532640437.0,6.0,238,"1,617",36.5,
Love Nwantiti - Remix,Dj Yo!,Love Nwantiti (Remix),8/30/2019,QZHN32199953,596326288.0,66.0,"132,469","1,613",36.5,
Victoriaï¿½ï¿½ï¿½s ,Jax,Victoriaï¿½ï¿½ï¿½s ,6/30/2022,USAT22208037,161267092.0,62.0,"28,607","1,616",36.5,
THE SCOTTS,THE SCOTTS,THE SCOTTS,4/24/2020,USSM12002217,789962731.0,68.0,"176,635","1,614",36.5,
Still With You,Jung Kook,Still With You,6/5/2020,QM6N22094716,188249146.0,72.0,"18,003","1,61",36.5,
Daytona,Cris Mj,Partyson,11/9/2023,QMFME2394931,139929615.0,77.0,"11,011","1,611",36.5,
Not Afraid,Eminem,Not Afraid,5/3/2010,USUM71011769,1012914789.0,74.0,"168,108","1,612",36.5,
GODS,League of Legends,GODS,10/4/2023,QZH6S1900802,147487181.0,,"22,912","1,621",36.4,
Fotos Y Recuerdos (Remasterizado 2024/30th Anniversary),Selena,Amor Prohibido (Remasterizado 2024/30th Anniversary),3/22/2024,USUM72402908,66283950.0,,13,"1,622",36.4,
Bad Romance,Lady Gaga,The Fame Monster (France FNAC Version),1/1/2009,USUM70918596,1229109018.0,77.0,"166,904","1,624",36.4,
The Feeling,Lost Frequencies,The Feeling - Single,6/9/2023,BEHP42300013,130424397.0,66.0,"22,83","1,623",36.4,
Flowers,Miley Cyrus,NOW That's What I Call Music! 115,7/28/2023,USSM12300148,2010422639.0,,7,"1,625",36.4,
LUNA,Peso Pluma,LUNA,6/22/2023,QM7282306223,266623831.0,73.0,"21,962","1,62",36.4,
Just Give Me a Reason,P!nk,The Truth About Love,9/14/2012,USRC11200786,1301573727.0,78.0,"145,608","1,627",36.3,
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,UN DIA (ONE DAY) (Feat. Tainy),7/24/2020,QZM5U2000001,828608384.0,64.0,"93,376","1,629",36.3,
Fancy,Iggy Azalea,The New Classic,1/1/2014,GBUM71400597,724486951.0,61.0,"89,47","1,63",36.3,
Apocalypse,Cigarettes After Sex,Apocalypse,3/21/2017,USBQU1700034,1305189811.0,82.0,"259,761","1,628",36.3,
Shape of You,xSyborg,Shape of You,2/20/2021,QZLBC2302789,3888356417.0,,,"1,807",36.3,
Murder On My Mind,YNW Melly,Murder On My Mind,10/14/2017,CA5KR1576667,1055558326.0,,"2,893","1,626",36.3,
Pacas De Billetes,Natanael Cano,Pacas De Billetes,5/1/2023,QZ9QQ2300315,199378491.0,66.0,"20,55","1,634",36.2,
"Villano Antillano: Bzrp Music Sessions, Vol. 51",Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51 - Single",6/8/2022,UYB282201027,305438624.0,65.0,"54,393","1,633",36.2,
A La Antigï¿½ï¿,Calibre 50,Vamos Bien,2/5/2021,QM2EJ1500901,435614687.0,67.0,"40,685","1,636",36.2,
Castle on the Hill,Ed Sheeran,Castle on the Hill,1/6/2017,GBAHS1600462,1340305216.0,73.0,"128,114","1,635",36.2,
GENTO,SB19,Gento,5/19/2023,PHS112300198,44345269.0,58.0,"4,379","1,631",36.2,
Bebe (feat. Anuel AA),Ozuna,Bebe (feat. Anuel AA),6/21/2017,USLZJ1789654,133601746.0,,"12,341","1,632",36.2,
ýýýýýý,YOASOBI,ýýýýýý,9/29/2023,JPP302300523,84848838.0,71.0,"10,799","1,643",36.1,
ýýndigo,Camilo,ýýndigo - Single,10/13/2021,USSD12100733,270580897.0,60.0,"31,024","1,637",36.1,
BABY OTAKU,Pablito Pesadilla,BABY OTAKU,8/18/2022,QM6P42224728,187646063.0,58.0,"31,155","1,64",36.1,
The Less I Know The Better,Tame Impala,Currents,7/17/2015,AUUM71500303,1644031037.0,79.0,"368,35","1,644",36.1,
ULTRA SOLO REMIX,Polimï¿½ï¿½ Westc,ULTRA SOLO Remix,6/16/2022,CLPP22200027,340527913.0,67.0,"50,714","1,641",36.1,
Next Thing You Know,Jordan Davis,Next Thing You Know,8/12/2022,USUM72213874,233212999.0,71.0,"26,694","1,642",36.1,
Faster n Harder,6arelyhuman,Faster n Harder,2/28/2024,QZZ4J2400085,45351290.0,68.0,"6,008","1,639",36.1,
Bongos (feat. Megan Thee Stallion),Cardi B,Bongos: The Pack,9/7/2023,USAT22309427,97991117.0,1.0,"14,129","1,647",36.0,
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,Better Days (NEIKED x Mae Muller x Polo G),9/24/2021,GBUM72106057,487150595.0,67.0,"92,69","1,65",36.0,
Cabaï¿½,El Jordan 23,Cabaï¿½,6/24/2023,QM7282354441,179452105.0,72.0,"24,12","1,646",36.0,
Golden,Harry Styles,Fine Line,12/13/2019,USSM11912586,912294568.0,70.0,"117,541","1,645",36.0,
Music For a Sushi Restaurant,Harry Styles,Harry's House,5/20/2022,USSM12200609,408265830.0,67.0,"54,371","1,649",36.0,
HYPNOTIC DATA,Odetari,XIII SORROWS,9/13/2023,QZVFR2301571,111532358.0,,"18,238","1,651",36.0,
Bad Feeling (Oompa Loompa),Jagwar Twin,Bad Feeling (Oompa Loompa),12/15/2023,QZ22S2300261,68270779.0,,"10,126","1,653",36.0,
Dance The Night,Dua Lipa,Barbie The Album,7/21/2023,USAT22305730,860026452.0,67.0,"19,743","1,652",36.0,
RAM TCHUM,DENNIS,RAM TCHUM,2/29/2024,BRSME2400249,62158125.0,74.0,"3,309","1,648",36.0,
Coal,Dylan Gossett,Coal,7/27/2023,QZNWU2332981,170200281.0,2.0,"40,016","1,661",35.9,
RUNAWAY,KAYDEN,RUNAWAY,3/14/2022,QZDA42277779,3508819.0,32.0,"1,705","1,656",35.9,
Habits (Stay High),Tove Lo,Habits,3/15/2013,SE3NM1300101,919756735.0,69.0,"144,657","1,658",35.9,
Kilerito,Brytiago,Kilerito - Single,4/19/2024,QZMZ92407626,22216368.0,,"3,237","1,654",35.9,
Houdini,Eminem,Houdini - Single,5/30/2024,USUG12403399,99968146.0,,193,"1,655",35.9,
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,Moonwalking in Calabasas Remix,8/20/2020,CA5KR2079526,337709342.0,61.0,"124,013","1,657",35.9,
Deli,Ice Spice,Like..? Deluxe (Apple Music Edition),1/20/2023,USUG12306323,190497384.0,70.0,"30,799","1,659",35.9,
Too Little Light,koko die,Some of Your Pain,3/17/2023,PLB172300028,24935.0,1.0,6,"1,66",35.9,
God's Country,Blake Shelton,God's Country,3/29/2019,USWB11900819,367775924.0,62.0,"62,389","1,665",35.8,
Desejo Imortal (It Must Have Been Love),Gusttavo Lima,Desejo Imortal (It Must Have Been Love),4/13/2023,BXBAL2300029,96328058.0,63.0,"7,107","1,666",35.8,
BOA,Megan Thee Stallion,BOA,5/9/2024,USAT22402630,21644029.0,79.0,"1,925","1,663",35.8,
30 GRADOS,El Turko,30 Grados,1/26/2024,QM4TW2445323,50652672.0,72.0,"5,098","1,662",35.8,
Relax My Eyes,ANOTR,Relax My Eyes,11/4/2022,GBKQU2296427,149095636.0,73.0,"85,011","1,671",35.7,
Alone,Alan Walker,Alone,1/1/2016,NOG841617010,738909649.0,70.0,"98,916","1,667",35.7,
Starlight,Dave,Starlight,3/3/2022,GBUM72201160,300668168.0,67.0,"114,589","1,668",35.7,
IDOL,BTS,Love Yourself ï¿½ï¿½ï¿½ 'A,8/24/2018,QM6MZ1886144,458842811.0,65.0,"26,775","1,67",35.7,
Soy Peor,Bad Bunny,Soy Peor,12/8/2016,QZS1Z1649083,507652985.0,67.0,"55,811","1,672",35.7,
Never Stop,ian,Valedictorian,5/17/2024,USQX92402275,8857839.0,68.0,"2,138","1,674",35.7,
ýýýýýýýýýýýýýýý,Tatsuya Kitani,ýýýýýýýýýýýýýýý,7/7/2023,JPU902302107,173018759.0,69.0,"22,899","1,669",35.7,
Earth Song,Wizard Chan,Earth Song - Single,12/24/2022,QZW9N2244606,5408464.0,39.0,"2,127","1,675",35.7,
GREECE (feat. Drake),DJ Khaled,GREECE (feat. Drake),7/16/2020,USSM12004502,544564903.0,63.0,"155,782","1,676",35.7,
Jericho,Iniko,Jericho - Single,4/15/2023,USQX92302565,138403252.0,65.0,"46,111","1,673",35.7,
someday i'll get it,Alek Olsen,someday i'll get it,10/26/2023,GBMJG2330804,89292592.0,,"13,834","1,688",35.6,
I Fall Apart,Post Malone,Stoney (Deluxe),12/9/2016,USUM71614475,1638216382.0,72.0,"181,604","1,683",35.6,
Popular,The Weeknd,Popular [From The Idol Vol. 1 (Music from the HBO Original Series)],6/2/2023,USUG12303890,812954133.0,54.0,"8,642","1,682",35.6,
Iced Coffee,Arthur Hill,Iced Coffee,10/5/2022,SGB502240495,2035613.0,40.0,824,"1,678",35.6,
Anyone,Justin Bieber,Anyone,1/1/2021,USUM72023175,689413808.0,63.0,"86,677","1,687",35.6,
Betty (Get Money),Yung Gravy,Betty (Get Money),6/10/2022,USUM72210379,262402978.0,59.0,"61,547","1,685",35.6,
Paradise (feat. Dermot Kennedy),MEDUZA,Paradise,10/30/2020,GBUM72005075,726266033.0,64.0,"118,99","1,679",35.6,
Bel Mercy,Jengi,Bel Mercy,12/2/2022,GBAYE2202575,137020536.0,64.0,"70,768","1,681",35.6,
The Nights,Avicii,Full Circle: The Live Anthology,11/20/2011,CH3131340464,1780761618.0,79.0,"306,987","1,68",35.6,
Run,OneRepublic,Run,5/5/2021,USUM72004315,567806129.0,70.0,"80,089","1,684",35.6,
Bad Habit,Steve Lacy,Gemini Rights,7/14/2022,USRC12202615,1087201670.0,45.0,"2,735","1,686",35.6,
Hate Me (with Juice WRLD),Ellie Goulding,Hate Me (with Juice WRLD),6/26/2019,GBUM71902944,756657781.0,66.0,"127,019","1,677",35.6,
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,Wellerman (220 KID x Billen Ted Remix),1/21/2021,GBUM72100298,443854471.0,63.0,"114,482","1,691",35.5,
Mi Cuarto,Jerry Di,DI LETRA,4/3/2020,USUM72002612,427998483.0,63.0,"56,978","1,694",35.5,
Commas,Ayra Starr,Commas,2/1/2024,USUG12400783,48408512.0,76.0,"6,447","1,689",35.5,
Dial Drunk,Noah Kahan,Stick Season (We'll All Be Here Forever),6/9/2023,USUM72307683,157881582.0,67.0,"23,162","1,69",35.5,
Angels Like You,Miley Cyrus,Plastic Hearts,11/27/2020,USRC12003754,940796773.0,77.0,"89,447","1,697",35.5,
Dime Cï¿½ï¿½mo Qui,Christian Nodal,Dime Cï¿½ï¿½mo Qui,11/12/2020,MXUM72006106,261261845.0,65.0,"25,57","1,692",35.5,
Without Me,Eminem,Suicide Squad: The Album (Collector's Edition),8/4/2016,USAT21602011,2146682342.0,,"7,361","1,696",35.5,
Call It Love,Felix Jaehn,Call It Love,9/16/2022,DEUM72204750,283002053.0,73.0,"49,454","1,693",35.5,
Rodeo (Remix),Lah Pat,Rodeo (Remix) - Single,2/24/2023,USAT22301387,160163510.0,72.0,"26,131","1,695",35.5,
Head Down,Lost Frequencies,All Stand Together,11/10/2023,BEHP42300071,51812189.0,,"8,222","1,698",35.5,
Vete,Bad Bunny,Vete,11/21/2019,QMFME1914637,991885224.0,64.0,"101,177","1,702",35.4,
What If,Johnny Orlando,What If,5/18/2018,CAGFE1800001,183453795.0,57.0,"33,551","1,707",35.4,
TRUCK BED,HARDY,TRUCK BED,10/10/2022,QZ22S2200079,194689239.0,73.0,"25,411","1,699",35.4,
Chosen (feat. Ty Dolla $ign),Blxst,No Love Lost (Deluxe),12/4/2020,USP6L2000552,396135437.0,64.0,"124,791","1,705",35.4,
Que Tire Pa Lante,Daddy Yankee,Que Tire Pa Lante,10/18/2019,US2BU1901810,375589989.0,59.0,"43,389","1,7",35.4,
Where the Wild Things Are,Luke Combs,Gettin' Old,3/24/2023,US6XF2200441,188142444.0,80.0,"23,954","1,701",35.4,
Jaldi Chhoda Ghare Bullet Se,Vinay Pandey Sanu,Jaldi Chhoda Ghare Bullet Se,3/10/2023,ING642301152,72880.0,6.0,3,"1,703",35.4,
REINA,Mora,ESTRELLA,8/28/2023,QMDA62341722,187631508.0,,"34,204","1,706",35.4,
ANTIFRAGILE,LE SSERAFIM,ANTIFRAGILE,10/17/2022,USA2P2230329,458713465.0,70.0,"29,686","1,704",35.4,
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),2/19/2016,FR9W11601798,1121107262.0,75.0,"193,004","1,719",35.3,
Dreaming,Marshmello,Dreaming,10/20/2023,USRC12302211,42151775.0,,"8,42","1,716",35.3,
Own Brand Freestyle,FelixThe1st,Own Brand Freestyle,10/7/2021,QZK6J2144340,110291303.0,52.0,"39,905","1,718",35.3,
Pussy & Millions (feat. Travis Scott),Drake,Her Loss,11/4/2022,USUG12208607,273457499.0,67.0,"90,842","1,712",35.3,
Sent Gamkauwa,Shivani Singh,Sent Gamkauwa,5/19/2023,ING642303429,29424141.0,62.0,487,"1,717",35.3,
Bulletproof,Nate Smith,Bulletproof,2/9/2024,USRN12300134,32849769.0,,"3,617","1,71",35.3,
I Hope,Gabby Barrett,I Hope,1/25/2019,TCAEB1919657,399778802.0,66.0,"50,441","1,714",35.3,
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,STOP STARING AT THE SHADOWS,2/14/2020,QZAPK1900020,675082623.0,73.0,"167,727","1,709",35.3,
Bite Me,ENHYPEN,DARK BLOOD,5/22/2023,USA2P2319853,263851286.0,73.0,"17,657","1,713",35.3,
Promises (with Sam Smith),Calvin Harris,Promises (with Sam Smith),8/17/2018,GBARL1801049,1036104210.0,69.0,"125,48","1,711",35.3,
Cover Me In Sunshine,P!nk,Cover Me In Sunshine,2/12/2021,USRC12100138,439034558.0,64.0,"90,145","1,715",35.3,
Outside (feat. Ellie Goulding),Calvin Harris,Full Circle: The Live Anthology,11/20/2011,GBARL1401201,1128783268.0,79.0,"167,396","1,708",35.3,
Bamba (feat. Aitch & BIA),Luciano,Bamba (feat. Aitch & BIA),9/22/2022,DECE72202389,201638049.0,62.0,"82,2","1,723",35.2,
Sin Querer,Fer Vazquez,Sin Querer - Single,12/14/2023,ARC082300049,46660424.0,67.0,4,"1,72",35.2,
Filhall 2,B Praak,Filhall 2,6/19/2020,QZLQR2052977,81182241.0,,2,"1,721",35.2,
TOMBOY,(G)I-DLE,I NEVER DIE,3/14/2022,KRA392100080,286016224.0,67.0,"26,565","1,724",35.2,
Everything I Love,Morgan Wallen,3 Songs At A Time Sampler,1/31/2023,USUG12300803,173756454.0,68.0,"32,55","1,722",35.2,
ýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,Md Faisal Ahmed,ýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,7/9/2023,QZLQR2199831,2274.0,,,"1,731",35.1,
Butta My Bread,JZyNo,Butta My Bread - Single (feat. Lasmid) - Single,4/7/2023,TCAGZ2348437,46431158.0,60.0,"23,723","1,729",35.1,
Barking,Ramz,Barking,12/1/2017,GBUM71706255,514888081.0,62.0,"137,084","1,726",35.1,
One Of Them Girls,Lee Brice,One Of Them Girls,4/10/2020,USCRB1900135,382466683.0,67.0,"51,259","1,728",35.1,
INFERNO,Sub Urban,INFERNO,8/13/2021,USWB12101521,233661226.0,60.0,"44,552","1,73",35.1,
Hold On,Chord Overstreet,Hold On,2/3/2017,USUM71615568,847578246.0,73.0,"122,39","1,725",35.1,
Bipolar,Mc Davi,Bipolar,4/9/2021,BXG6R2100310,174403309.0,52.0,"32,65","1,727",35.1,
bury a friend,Billie Eilish,bury a friend,1/30/2019,USUM71900770,1014870547.0,68.0,"114,243","1,739",35.0,
"Alone, Pt. II",Alan Walker,"Alone, Pt. II",12/27/2019,NOG841907010,606284550.0,69.0,"81,259","1,74",35.0,
El Tsurito,Junior H,El Tsurito,4/7/2023,QZ9QQ2300262,257812063.0,69.0,"24,07","1,741",35.0,
GOOD LOYAL THOTS,Odetari,GOOD LOYAL THOTS,3/15/2023,QZES92330937,222975417.0,71.0,"36,832","1,734",35.0,
No Me Acuerdo,Thalia,No Me Acuerdo,6/1/2018,USSD11800192,367530155.0,60.0,"32,622","1,733",35.0,
Abcdario,Eden Muï¿½ï,Abcdario,5/13/2023,MXB952300035,262504588.0,72.0,"19,709","1,738",35.0,
Freestyle,Lil Baby,Too Hard,12/1/2017,QZ4JX1760834,706489684.0,75.0,"169,855","1,735",35.0,
Una Locura,Ozuna,ENOC,9/4/2020,USXDR2000574,584776407.0,66.0,"77,768","1,732",35.0,
double take,Dhruv,double take,5/24/2019,GBMJG1911043,826685494.0,76.0,"106,975","1,737",35.0,
Trip,Ella Mai,Trip,8/3/2018,USUM71810720,502147027.0,66.0,"69,35","1,747",34.9,
Ni Una Ni Dos,BM,Ni Una Ni Dos,6/28/2023,UYB282364003,139873877.0,65.0,"17,771","1,743",34.9,
Un Desperdicio,Rels B,Un Desperdicio,4/25/2024,UYB282476008,62552825.0,78.0,"3,045","1,75",34.9,
